item_seq,item_name,normalized_item_name,ingredient_name,company_name,drug_class,relation_ids,relation_count,nutrients,source_type_inherited,source_url_inherited,source_checked_at,covered_by_relation
201901897,레보투정100밀리그램(레보플록사신수화물),레보투정100밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201901896,레보투정500밀리그램(레보플록사신수화물),레보투정500밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201401334,레보트라정(레보플록사신수화물),레보트라정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
199400369,레보펙신정(레보플록사신수화물),레보펙신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
200710882,레보펙신정250밀리그램(레보플록사신수화물),레보펙신정250밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
200703280,레보펙신정500밀리그램(레보플록사신수화물),레보펙신정500밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-12,True
199903254,레보푸라신정(레보플록사신수화물),레보푸라신정(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201701601,레보푸라신정250밀리그램(레보플록사신수화물),레보푸라신정250밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
202003099,레보프사정100밀리그램(레보플록사신수화물),레보프사정100밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
201906311,레보플라정100밀리그램(레보플록사신수화물),레보플라정100밀리그램(레보플록사신수화물),레보플록사신,,플루오로퀴놀론계 항생제,1;2;3,3,칼슘;철분;마그네슘,허가사항,https://nedrug.mfds.go.kr/pbp/CCBBB01/getItemDetail?itemSeq=199900886,2026-06-11,True
