rank,ingredient_name,product_count,therapeutic_class,relation_covered,relation_card_products,covered_base_ingredient,in_popular_seed,sensitive_hold,queue_action
203,알리트레티노인,18,기타,no,0,,no,no,source_check_candidate
204,아토목세틴염산염,18,기타,no,0,,no,no,source_check_candidate
205,레보티록신,17,갑상선/내분비,yes,17,레보티록신,yes,no,covered
206,페노피브레이트,17,고지혈증,no,0,,yes,no,source_check_candidate
207,에탄올(95),17,기타,no,0,,no,no,source_check_candidate
208,브롬페낙나트륨수화물,17,기타,no,0,,no,no,source_check_candidate
209,세프프로질 수화물,17,항생/항균,no,0,,no,no,source_check_candidate
210,소마트로핀,17,기타,no,0,,no,no,source_check_candidate
211,올메사르탄메독소밀/로수바스타틴칼슘,17,고혈압/심혈관,no,0,,yes,no,source_check_candidate
212,시타글립틴인산염수화물/피오글리타존염산염,16,당뇨,no,0,,yes,no,source_check_candidate
213,잘토프로펜,16,해열진통/소염,no,0,,no,no,source_check_candidate
214,바클로펜,16,기타,no,0,,no,no,source_check_candidate
215,알푸조신염산염,16,비뇨/전립선,no,0,,no,no,source_check_candidate
216,나프토피딜,16,기타,no,0,,no,no,source_check_candidate
217,바제독시펜아세테이트/콜레칼시페롤농축분말,16,골다공증,no,0,,no,no,source_check_candidate
218,세틸피리디늄염화물수화물,16,기타,no,0,,no,no,source_check_candidate
219,판크레아틴/셀룰라제/우담즙 건조엑스/디메티콘,16,기타,no,0,,yes,no,source_check_candidate
220,티카그렐러,16,기타,no,0,,no,no,source_check_candidate
221,이부프로펜피코놀/이소프로필메틸페놀,16,해열진통/소염,no,0,,yes,no,source_check_candidate
222,아토르바스타틴칼슘/에제티미브,16,고지혈증,no,0,,yes,no,source_check_candidate
223,펠라고니움시도이데스11%에탄올건조엑스(5.5~6.6→1),16,기타,no,0,,no,no,source_check_candidate
224,에베로리무스,16,기타,no,0,,no,no,source_check_candidate
225,도르졸라미드염산염/티몰롤말레산염,16,기타,no,0,,no,no,source_check_candidate
226,로수바스타틴칼슘(미분화),15,고지혈증,no,0,,yes,no,source_check_candidate
227,라베프라졸나트륨/탄산수소나트륨,15,소화/위장,yes,15,라베프라졸,yes,no,covered
228,졸피뎀타르타르산염,15,정신건강(민감),no,0,,yes,yes,source_check_hold(sensitive)
229,세프라딘수화물,15,항생/항균,no,0,,no,no,source_check_candidate
230,메게스트롤아세테이트,15,기타,no,0,,no,no,source_check_candidate
231,세프프로질수화물,15,항생/항균,no,0,,no,no,source_check_candidate
232,펜타닐,15,기타,no,0,,no,no,source_check_candidate
233,아지트로마이신수화물,14,항생/항균,no,0,,yes,no,source_check_candidate
234,이트라코나졸펠렛,14,항진균,no,0,,no,no,source_check_candidate
235,시타글립틴염산염수화물/다파글리플로진시트르산(미분화),14,당뇨,no,0,,yes,no,source_check_candidate
236,아세트아미노펜/클로르페니라민말레산염/슈도에페드린염산염,14,해열진통/소염,no,0,,yes,no,source_check_candidate
237,암로디핀베실산염/발사르탄,14,고혈압/심혈관,no,0,,yes,no,source_check_candidate
238,에제티미브/로수바스타틴칼슘,14,고지혈증,no,0,,yes,no,source_check_candidate
239,슈도에페드린염산염/에바스틴,14,호흡기/알레르기,no,0,,yes,no,source_check_candidate
240,아테놀롤,14,고혈압/심혈관,no,0,,no,no,source_check_candidate
241,플루오르화나트륨,14,기타,no,0,,no,no,source_check_candidate
242,보티옥세틴브롬화수소산염,14,기타,no,0,,no,no,source_check_candidate
243,이소트레티노인,14,기타,no,0,,no,no,source_check_candidate
244,리도카인염산염수화물,14,기타,no,0,,no,no,source_check_candidate
245,라타노프로스트,14,기타,no,0,,no,no,source_check_candidate
246,폴리카르보필칼슘,14,기타,no,0,,no,no,source_check_candidate
247,메틸페니데이트염산염,14,기타,no,0,,no,no,source_check_candidate
248,트라넥삼산,14,기타,no,0,,no,no,source_check_candidate
249,디클로페낙디에틸암모늄,13,해열진통/소염,no,0,,yes,no,source_check_candidate
250,클로피도그렐황산염/아스피린장용펠렛,13,항혈전(민감),no,0,,yes,yes,source_check_hold(sensitive)
251,암피실린나트륨/설박탐나트륨,13,기타,no,0,,no,no,source_check_candidate
252,에날라프릴말레산염,13,고혈압/심혈관,no,0,,no,no,source_check_candidate
253,빌다글립틴,13,당뇨,no,0,,yes,no,source_check_candidate
254,시메티콘,13,기타,no,0,,no,no,source_check_candidate
255,히드로퀴논,13,기타,no,0,,no,no,source_check_candidate
256,무피로신,13,기타,no,0,,no,no,source_check_candidate
257,D-판테놀,13,기타,no,0,,no,no,source_check_candidate
258,피마사르탄칼륨삼수화물,13,고혈압/심혈관,no,0,,yes,no,source_check_candidate
259,나파모스타트메실산염,13,기타,no,0,,no,no,source_check_candidate
260,프로포폴,13,기타,no,0,,no,no,source_check_candidate
261,아스코르브산/리소짐염산염/토코페롤아세테이트 2배산/카르바조크롬,13,기타,no,0,,no,no,source_check_candidate
262,덱스메데토미딘염산염,13,기타,no,0,,no,no,source_check_candidate
263,로수바스타틴칼슘/발사르탄,13,고혈압/심혈관,no,0,,yes,no,source_check_candidate
264,데노수맙,13,기타,no,0,,no,no,source_check_candidate
265,디클로페낙β-디메틸아미노에탄올,12,해열진통/소염,no,0,,yes,no,source_check_candidate
266,이트라코나졸,12,항진균,no,0,,no,no,source_check_candidate
267,비소프롤롤푸마르산염,12,고혈압/심혈관,no,0,,yes,no,source_check_candidate
268,칸데사르탄실렉세틸/S-암로디핀베실산염2.5수화물,12,고혈압/심혈관,no,0,,yes,no,source_check_candidate
269,텔미사르탄/로수바스타틴칼슘/에제티미브(미분화)/암로디핀베실산염,12,고혈압/심혈관,no,0,,yes,no,source_check_candidate
270,텔미사르탄/로수바스타틴칼슘/에제티미브,12,고혈압/심혈관,no,0,,yes,no,source_check_candidate
271,탄산수소나트륨/라베프라졸나트륨,12,소화/위장,yes,12,라베프라졸,yes,no,covered
272,도네페질염산염,12,신경/뇌,no,0,,yes,no,source_check_candidate
273,나부메톤,12,기타,no,0,,no,no,source_check_candidate
274,트리암시놀론아세토니드,12,기타,no,0,,no,no,source_check_candidate
275,테노포비르디소프록실,12,기타,no,0,,no,no,source_check_candidate
276,S-암로디핀베실산염2.5수화물/발사르탄/인다파미드,12,고혈압/심혈관,yes,0,인다파미드,yes,no,covered
277,암로디핀베실산염/발사르탄/클로르탈리돈,12,고혈압/심혈관,yes,0,클로르탈리돈,yes,no,covered
278,자일로메타졸린염산염,12,기타,no,0,,no,no,source_check_candidate
279,벤지다민염산염,12,기타,no,0,,no,no,source_check_candidate
280,레보도파/카르비도파수화물/엔타카폰,12,기타,no,0,,no,no,source_check_candidate
281,페람파넬(미분화),12,기타,no,0,,no,no,source_check_candidate
282,실데나필,12,기타,no,0,,no,no,source_check_candidate
283,엘로티닙염산염,12,기타,no,0,,no,no,source_check_candidate
284,로수바스타틴칼슘/암로디핀베실산염,12,고혈압/심혈관,no,0,,yes,no,source_check_candidate
