candidate_id,family,drug_ingredient,counterpart,priority,sc_status,itemSeq,source_section,source_quote
RF-F1-0089,F1,루플록사신,아연,P0,no_domestic_product,,,
RF-F1-0090,F1,루플록사신,Al/Mg 함유 제산제(약물),P0,no_domestic_product,,,
RF-F2-0126,F2,메타사이클린,철분,P0,no_domestic_product,,,
RF-F2-0127,F2,메타사이클린,칼슘,P0,no_domestic_product,,,
RF-F2-0128,F2,메타사이클린,마그네슘,P0,no_domestic_product,,,
RF-F2-0129,F2,메타사이클린,아연,P0,no_domestic_product,,,
RF-F2-0130,F2,메타사이클린,Al/Mg 함유 제산제(약물),P0,no_domestic_product,,,
RF-F1-0012,F1,목시플록사신,칼슘,P0,label_not_found,201206595,,
RF-F1-0015,F1,목시플록사신,Al/Mg 함유 제산제(약물),P0,label_not_found,201206595,,
RF-F2-0110,F2,미노사이클린,Al/Mg 함유 제산제(약물),P0,source_confirmed_draft_candidate,198501028,병용투여,"칼슘, 마그네슘, 알루미늄을 함유하는 제산제 또는 이들 양이온을 함유하는 다른 약물들, 철ㆍ아연을 함유하고 있는 제제와 약용탄, 카올린, 펙틴 또는 비스무스(bismuth)염 제제에 의해 테트라사이클린계 약물의 흡수가 저하되어 효과가 저하될 수 있다."
RF-F1-0036,F1,발로플록사신,철분,P0,label_not_found,199300319,,
RF-F1-0037,F1,발로플록사신,칼슘,P0,direction_mismatch,199300319,,
RF-F1-0038,F1,발로플록사신,마그네슘,P0,direction_mismatch,199300319,,
RF-F1-0039,F1,발로플록사신,아연,P0,label_not_found,199300319,,
RF-F1-0040,F1,발로플록사신,Al/Mg 함유 제산제(약물),P0,source_confirmed_draft_candidate,199300319,상호작용,알루미늄 또는 마그네슘을 함유하는 제산제와의 병용에 의해 이 약의 흡수가 저하되고 효과가 감소되는 경우가 있으므로 병용을 피하는 것이 바람직하다.
RF-F1-0056,F1,스파르플록사신,철분,P0,no_domestic_product,,,
RF-F1-0057,F1,스파르플록사신,칼슘,P0,no_domestic_product,,,
RF-F1-0058,F1,스파르플록사신,마그네슘,P0,no_domestic_product,,,
RF-F1-0059,F1,스파르플록사신,아연,P0,no_domestic_product,,,
RF-F1-0060,F1,스파르플록사신,Al/Mg 함유 제산제(약물),P0,no_domestic_product,,,
RF-F1-0096,F1,시노플록사신,철분,P0,no_domestic_product,,,
RF-F1-0097,F1,시노플록사신,칼슘,P0,no_domestic_product,,,
RF-F1-0098,F1,시노플록사신,마그네슘,P0,no_domestic_product,,,
RF-F1-0099,F1,시노플록사신,아연,P0,no_domestic_product,,,
RF-F1-0100,F1,시노플록사신,Al/Mg 함유 제산제(약물),P0,no_domestic_product,,,
RF-F1-0005,F1,시프로플록사신,Al/Mg 함유 제산제(약물),P0,label_not_found,199303818,,
RF-F1-0076,F1,에녹사신,철분,P0,no_domestic_product,,,
RF-F1-0077,F1,에녹사신,칼슘,P0,no_domestic_product,,,
RF-F1-0078,F1,에녹사신,마그네슘,P0,no_domestic_product,,,
RF-F1-0079,F1,에녹사신,아연,P0,no_domestic_product,,,
RF-F1-0080,F1,에녹사신,Al/Mg 함유 제산제(약물),P0,no_domestic_product,,,
RF-F1-0020,F1,오플록사신,Al/Mg 함유 제산제(약물),P0,source_confirmed_draft_candidate,198900665,병용투여,"수크랄페이트, 알루미늄 또는 마그네슘 함유 제산제, 철분 함유 제제, 칼슘 함유 제제, 아연 또는 철분이 함유된 종합비타민제제와의 병용에 의해 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 2시간 이내에는 병용하지 않는 것이 바람직하다(단, 경구제에 한함). 1"
RF-F2-0116,F2,옥시테트라사이클린,철분,P0,no_domestic_product,,,
RF-F2-0117,F2,옥시테트라사이클린,칼슘,P0,no_domestic_product,,,
RF-F2-0118,F2,옥시테트라사이클린,마그네슘,P0,no_domestic_product,,,
RF-F2-0119,F2,옥시테트라사이클린,아연,P0,no_domestic_product,,,
RF-F2-0120,F2,옥시테트라사이클린,Al/Mg 함유 제산제(약물),P0,no_domestic_product,,,
RF-F1-0041,F1,자보플록사신,철분,P0,source_confirmed_draft_candidate,201501455,병용투여,"알루미늄 또는 마그네슘 함유 제산제, 철분 함유 제제, 칼슘 함유 제제, 아연 또는 철분이 함유된 종합비타민제제와의 병용에 의해 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 3시간 이내에는 병용하지 않는다."
RF-F1-0042,F1,자보플록사신,칼슘,P0,source_confirmed_draft_candidate,201501455,병용투여,"알루미늄 또는 마그네슘 함유 제산제, 철분 함유 제제, 칼슘 함유 제제, 아연 또는 철분이 함유된 종합비타민제제와의 병용에 의해 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 3시간 이내에는 병용하지 않는다."
RF-F1-0043,F1,자보플록사신,마그네슘,P0,direction_mismatch,201501455,,
RF-F1-0044,F1,자보플록사신,아연,P0,source_confirmed_draft_candidate,201501455,병용투여,"알루미늄 또는 마그네슘 함유 제산제, 철분 함유 제제, 칼슘 함유 제제, 아연 또는 철분이 함유된 종합비타민제제와의 병용에 의해 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 3시간 이내에는 병용하지 않는다."
RF-F1-0045,F1,자보플록사신,Al/Mg 함유 제산제(약물),P0,source_confirmed_draft_candidate,201501455,병용투여,"알루미늄 또는 마그네슘 함유 제산제, 철분 함유 제제, 칼슘 함유 제제, 아연 또는 철분이 함유된 종합비타민제제와의 병용에 의해 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 3시간 이내에는 병용하지 않는다."
RF-F2-0111,F2,테트라사이클린,철분,P0,source_confirmed_draft_candidate,196000001,병용투여,"칼슘, 마그네슘, 알루미늄을 함유하는 제산제 또는 이들 양이온을 함유하는 다른 약물들, 철ㆍ아연을 함유하고 있는 제제와 약용탄, 카올린, 펙틴 또는 비스무트(bismuth)염 제제에 의해 테트라사이클린계 약물의 흡수가 저하되어 효과가 저하될 수 있다."
RF-F2-0112,F2,테트라사이클린,칼슘,P0,direction_mismatch,196000001,,
RF-F2-0113,F2,테트라사이클린,마그네슘,P0,direction_mismatch,196000001,,
RF-F2-0114,F2,테트라사이클린,아연,P0,source_confirmed_draft_candidate,196000001,병용투여,"칼슘, 마그네슘, 알루미늄을 함유하는 제산제 또는 이들 양이온을 함유하는 다른 약물들, 철ㆍ아연을 함유하고 있는 제제와 약용탄, 카올린, 펙틴 또는 비스무트(bismuth)염 제제에 의해 테트라사이클린계 약물의 흡수가 저하되어 효과가 저하될 수 있다."
RF-F2-0115,F2,테트라사이클린,Al/Mg 함유 제산제(약물),P0,source_confirmed_draft_candidate,196000001,병용투여,"칼슘, 마그네슘, 알루미늄을 함유하는 제산제 또는 이들 양이온을 함유하는 다른 약물들, 철ㆍ아연을 함유하고 있는 제제와 약용탄, 카올린, 펙틴 또는 비스무트(bismuth)염 제제에 의해 테트라사이클린계 약물의 흡수가 저하되어 효과가 저하될 수 있다."
RF-F1-0066,F1,토수플록사신,철분,P0,source_confirmed_draft_candidate,200501778,병용투여,"알루미늄 또는 마그네슘 함유 제산제, 철분 함유 제제, 칼슘 함유 제제와의 병용에 의해 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 2시간 이내에는 병용하지 않는 것이 바람직하다."
RF-F1-0067,F1,토수플록사신,칼슘,P0,source_confirmed_draft_candidate,200501778,병용투여,"알루미늄 또는 마그네슘 함유 제산제, 철분 함유 제제, 칼슘 함유 제제와의 병용에 의해 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 2시간 이내에는 병용하지 않는 것이 바람직하다."
RF-F1-0068,F1,토수플록사신,마그네슘,P0,direction_mismatch,200501778,,
RF-F1-0069,F1,토수플록사신,아연,P0,label_not_found,200501778,,
RF-F1-0070,F1,토수플록사신,Al/Mg 함유 제산제(약물),P0,source_confirmed_draft_candidate,200501778,병용투여,"알루미늄 또는 마그네슘 함유 제산제, 철분 함유 제제, 칼슘 함유 제제와의 병용에 의해 흡수가 저하되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 2시간 이내에는 병용하지 않는 것이 바람직하다."
RF-F2-0131,F2,티게사이클린,철분,P0,no_domestic_product,,,
RF-F2-0132,F2,티게사이클린,칼슘,P0,no_domestic_product,,,
RF-F2-0133,F2,티게사이클린,마그네슘,P0,no_domestic_product,,,
RF-F2-0134,F2,티게사이클린,아연,P0,no_domestic_product,,,
RF-F2-0135,F2,티게사이클린,Al/Mg 함유 제산제(약물),P0,no_domestic_product,,,
RF-F1-0026,F1,페플록사신,철분,P0,source_confirmed_draft_candidate,199202246,병용투여,"철분 함유 제제, 아연 또는 철분이 함유된 종합비타민제제와의 병용에 의해 흡수가 저해되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 2시간 이내에는 병용하지 않는 것이 바람직하다."
RF-F1-0027,F1,페플록사신,칼슘,P0,label_not_found,199202246,,
RF-F1-0028,F1,페플록사신,마그네슘,P0,direction_mismatch,199202246,,
RF-F1-0029,F1,페플록사신,아연,P0,source_confirmed_draft_candidate,199202246,병용투여,"철분 함유 제제, 아연 또는 철분이 함유된 종합비타민제제와의 병용에 의해 흡수가 저해되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 2시간 이내에는 병용하지 않는 것이 바람직하다."
RF-F1-0030,F1,페플록사신,Al/Mg 함유 제산제(약물),P0,source_confirmed_draft_candidate,199202246,병용투여,알루미늄 또는 마그네슘 함유 제산제와의 병용에 의해 흡수가 저해되어 효과가 저하되는 경우가 있으므로 이 약 투여 전후 4시간 이내에는 병용하지 않는 것이 바람직하다.
RF-F1-0046,F1,프룰리플록사신,철분,P0,no_domestic_product,,,
RF-F1-0047,F1,프룰리플록사신,칼슘,P0,no_domestic_product,,,
